name,price_eur,display_inch,display_cm,display_resolution,display_ratio,weight_kg,height_mm,width_mm,depth_mm,operating_system,cpu_processor,ram_memory,gpu_integrated,gpu_extra,internal_storage_gb,storage_type,battery_life_h,battery_capacity_wh,psu_watts,audio_system,speakers_count,has_touchscreen,keyboard_backlit,keyboard_numpad,has_webcam,has_bluetooth,bluetooth_version,wifi_standard,product_ean,product_sku,release_year,category
"Apple MacBook Air M1 256GB, Space grau",912.99,13,33.8,2560x1600,16:09,1.29,16.1,304.1,212.4,macOS Big Sur,M1,8,Apple GPU,-,256,SSD,18,49.9,30,Dolby Atmos,2,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),1.94E+11,MGN63D/A,2020,Notebooks
MSI Stealth 17 Studio A13VI013  Intel Core i9 13900H / 2.6 GHz  Win 11 Home  GeForce RTX 4090  64 GB RAM  4 TB SSD NVMe,4680.23,17.3,43.9,3840x2160,16:09,2.8,20.1,397.6,283.5,Windows 11 Home,i913900H,64,Intel Iris Xe Graphics,NVIDIA GeForce RTX 4090,4,SSD,-,99,240,-,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.3,WiFi 6E (802.11ax),4.71E+12,0017P2013,-,Notebooks
MSI Summit E14 FlipEvo A12MT049 i71260P/16GB/1TB W11H,1651.12,14,35.6,2880x1800,-,1.6,17.9,314,227.5,Windows 11 Home,i71260P,16,Intel Iris Xe Graphics,-,1000,SSD,-,72,65,-,2,TRUE,TRUE,FALSE,TRUE,TRUE,5.2,WiFi 6E (802.11ax),4.72E+12,0014F1049,-,Notebooks
Gigabyte GBT AORUS 15 9KFE3DE383SH i5 W11 144Hz,1087.38,15.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,-,-,4.72E+12,AORUS 15 9KFE3DE383SH,-,Notebooks
Fujitsu Lifebook A3511 FHD i31115G4 8GB 256GBSSD o. DVD,354.97,15.6,39.6,1920x1080,-,1.95,23.9,361,244,M2,i31115G4,8,Intel® UHD Graphics,-,256,SSD,-,45,-,-,2,FALSE,FALSE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),4.07E+12,FPC04902BS,-,Notebooks
LENOVO TP X1 CARBON G11 I71355U 16GB 512GB SSD 14.0 WUXGA W11P,1997.16,14,35.6,1920x1200,16:10,1.12,15.4,315.6,222.5,Windows 11 Pro,Intel SoC,16,Intel Iris Xe Graphics,-,512,SSD,-,57,65,Dolby Atmos,4,FALSE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.97E+11,21HM004FGE,-,Notebooks
Apple MacBook Air M2 Chip 8Core CPU und 8Core GPU 8GB gem. RAM 256GB SSD DE  Mitternacht,1098,13.6,34.5,2560x1664,-,1.24,11.3,304.1,215,macOS Monterey,M2,8,Apple GPU,-,256,SSD,-,52.6,30,-,4,FALSE,TRUE,FALSE,TRUE,TRUE,5,WiFi 6 (802.11ax),1.94E+11,MLY33D/A,2022,Notebooks
Lenovo ThinkPad E16 AMD G1 R77730U 16/512 SSD WUXGA W11P,886.61,16,40.6,1920x1200,-,1.97,19.9,356.1,247.7,Windows 11 Pro,AMD SoC,16,AMD Radeon,-,512,SSD,-,57,65,Dolby Atmos,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.98E+11,21JT000HGE,-,Notebooks
ACER CHROMEB SPIN 714 CP7142WN36G6,748.88,14,35.6,1920x1200,16:10,1.37,18.1,312.6,224,ChromeOS,i31315U,8,Intel® UHD Graphics,-,128,SSD,-,56,65,-,2,TRUE,TRUE,FALSE,TRUE,TRUE,5.2,WiFi 6E (802.11ax),4.71E+12,NX.KLDEG.001,-,Notebooks
Fujitsu Lifebook U7411 FHD i71165G7,1538.12,14,35.6,1920x1080,-,1.2,17.9,322,211,Windows 10 Pro,i71165G7,16,Intel Iris Xe Graphics,-,512,SSD,-,65,-,-,2,FALSE,FALSE,FALSE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),4.06E+12,VFY:U7411MF7AMDE,-,Notebooks
Lenovo ThinkPad E16 G1 i51335U 16/512 SSD WUXGA IPS W11P,955.53,16,40.6,1920x1200,16:10,1.97,19.9,356.1,247.7,Windows 11 Pro,Intel SoC,16,Intel Iris Xe Graphics,-,512,SSD,-,57,65,Dolby Atmos,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.98E+11,21JN004RGE,-,Notebooks
LENOVO TP L15 G4 I51335U 16GB 512GB SSD 15.6 FHD W11P,1102.9,15.6,39.6,1920x1080,16:09,1.77,19.9,360.2,237,Windows 11 Pro,Intel SoC,16,Intel Iris Xe Graphics,-,512,SSD,-,57,65,Dolby Audio,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.98E+11,21H3002AGE,-,Notebooks
LENOVO E14 G5 I51335U 16GB,956.72,14,35.6,1920x1200,16:10,1.53,18,313,219.3,Windows 11 Pro,Intel SoC,16,Intel Iris Xe Graphics,-,512,SSD,-,57,65,Dolby Atmos,2,FALSE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.98E+11,21JK005AGE,-,Notebooks
Lenovo ThinkBook 15 G4 i51235U 16/512GB FHD IPS W11P,830.82,15.6,39.6,1920x1080,16:09,1.7,18.9,357,235,Windows 11 Pro,Intel SoC,16,Intel Iris Xe Graphics,-,512,SSD,6,45,65,Dolby Audio,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.2,WiFi 6 (802.11ax),1.96E+11,21DJ000GGE,-,Notebooks
LENOVO TP L15 G4 R5P 7530U 16GB 512GB SSD 15.6 FHD W11P,998.32,15.6,39.6,1920x1080,16:09,1.77,19.9,360.2,237,Windows 11 Pro,AMD SoC,16,AMD Radeon,-,512,SSD,-,57,65,-,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.98E+11,21H7001YGE,-,Notebooks
Lenovo ThinkPad E16 AMD G1 R57530U 16/512 SSD WUXGA W11P,892.35,16,40.6,1920x1200,-,1.97,19.9,356.1,247.7,Windows 11 Pro,AMD SoC,16,AMD Radeon,-,512,SSD,-,57,65,Dolby Atmos,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.98E+11,21JT000FGE,-,Notebooks
Lenovo ThinkPad T14 G4 i71355U 16/512GB SSD WUXGA W11P 21HD005XGE,1878.29,14,35.6,1920x1200,16:10,1.36,17.9,317.7,226.9,Windows 11 Pro,Intel SoC,16,Intel Iris Xe Graphics,-,512,SSD,-,52.5,65,Dolby Audio,2,FALSE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.98E+11,21HD005XGE,-,Notebooks
Lenovo ThinkPad T14 G4 i51335U 16/512GB SSD WUXGA 4G W11P,1696.4,14,35.6,1920x1200,16:10,1.36,17.9,317.7,226.9,Windows 11 Pro,Intel SoC,16,Intel Iris Xe Graphics,-,512,SSD,-,52.5,65,Dolby Audio,2,FALSE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),1.98E+11,21HD004KGE,-,Notebooks
LG GRAM 17Z90QG.AP78G i7 W11P FHD black,1266.53,17.3,43.2,2560x1600,16:10,1.35,17.7,378.8,258.8,Windows 11 Pro,i71260P,16,Intel Iris Xe Graphics,-,1000,SSD,-,80,-,DTS:X Ultra,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6E (802.11ax),8.81E+12,17Z90QG.AP78G,-,Notebooks
LENOVO E14 G5 I51335U 8GB,882.87,14,35.6,1920x1200,16:10,1.53,18,313,219.3,Windows 11 Pro,Intel SoC,8,Intel Iris Xe Graphics,-,256,SSD,-,57,65,Dolby Atmos,2,FALSE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.98E+11,21JK0057GE,-,Notebooks
LENOVO 14s Yoga G3 Intel Core i71355U FHD 16GB 512GB SSD UMA W11P Mineral Grey,1296.23,14,35.6,1920x1080,16:09,1.5,16.9,320,216,Windows 11 Pro,Intel SoC,16,Intel Iris Xe Graphics,-,512,SSD,11.7,60,65,Dolby Atmos,2,TRUE,TRUE,FALSE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.97E+11,21JG0008GE,-,Notebooks
"Lenovo V15 G3 15.6"" i51235U 8/256GB SSD FHD W11P",583.36,15.6,39.6,1920x1080,16:09,1.7,19.9,359,236,Windows 11 Pro,Intel SoC,8,Intel Iris Xe Graphics,-,256,SSD,5.3,38,65,Dolby Audio,2,FALSE,FALSE,TRUE,TRUE,TRUE,5,WiFi 5 (802.11ac),1.96E+11,82TT0008GE,-,Notebooks
LENOVO E16 G1 I51335U 8GB,883.95,16,40.6,1920x1200,16:10,1.97,19.9,356.1,247.7,Windows 11 Pro,Intel SoC,8,Intel Iris Xe Graphics,-,256,SSD,-,57,65,Dolby Atmos,2,FALSE,TRUE,TRUE,TRUE,TRUE,5.1,WiFi 6 (802.11ax),1.98E+11,21JN004NGE,-,Notebooks
Dell LATITUDE 5430 I51235U 8GB 256GB SSD W10P,903.3,14,35.6,1920x1080,16:09,1.36,1.93,321.4,212,Windows 10 Pro,i51235U,8,Intel Iris Xe Graphics,-,256,SSD,-,58,65,MaxxAudio Pro,2,FALSE,TRUE,FALSE,TRUE,TRUE,-,WiFi 6E (802.11ax),5.40E+12,G437V,2022,Notebooks
